Beta (v/c)	 Gamma 
0		 1 
0.0001		 1 
0.0002		 1 
0.0003		 1 
0.0004		 1 
0.0005		 1 
0.0006		 1 
0.0007		 1 
0.0008		 1 
0.0009		 1 
0.001		 1 
0.0011		 1 
0.0012		 1 
0.0013		 1 
0.0014		 1 
0.0015		 1 
0.0016		 1 
0.0017		 1 
0.0018		 1 
0.0019		 1 
0.002		 1 
0.0021		 1 
0.0022		 1 
0.0023		 1 
0.0024		 1 
0.0025		 1 
0.0026		 1 
0.0027		 1 
0.0028		 1 
0.0029		 1 
0.003		 1 
0.0031		 1 
0.0032		 1.00001 
0.0033		 1.00001 
0.0034		 1.00001 
0.0035		 1.00001 
0.0036		 1.00001 
0.0037		 1.00001 
0.0038		 1.00001 
0.0039		 1.00001 
0.004		 1.00001 
0.0041		 1.00001 
0.0042		 1.00001 
0.0043		 1.00001 
0.0044		 1.00001 
0.0045		 1.00001 
0.0046		 1.00001 
0.0047		 1.00001 
0.0048		 1.00001 
0.0049		 1.00001 
0.005		 1.00001 
0.0051		 1.00001 
0.0052		 1.00001 
0.0053		 1.00001 
0.0054		 1.00001 
0.0055		 1.00002 
0.0056		 1.00002 
0.0057		 1.00002 
0.0058		 1.00002 
0.0059		 1.00002 
0.006		 1.00002 
0.0061		 1.00002 
0.0062		 1.00002 
0.0063		 1.00002 
0.0064		 1.00002 
0.0065		 1.00002 
0.0066		 1.00002 
0.0067		 1.00002 
0.0068		 1.00002 
0.0069		 1.00002 
0.007		 1.00002 
0.0071		 1.00003 
0.0072		 1.00003 
0.0073		 1.00003 
0.0074		 1.00003 
0.0075		 1.00003 
0.0076		 1.00003 
0.0077		 1.00003 
0.0078		 1.00003 
0.0079		 1.00003 
0.008		 1.00003 
0.0081		 1.00003 
0.0082		 1.00003 
0.0083		 1.00003 
0.0084		 1.00004 
0.0085		 1.00004 
0.0086		 1.00004 
0.0087		 1.00004 
0.0088		 1.00004 
0.0089		 1.00004 
0.009		 1.00004 
0.0091		 1.00004 
0.0092		 1.00004 
0.0093		 1.00004 
0.0094		 1.00004 
0.0095		 1.00005 
0.0096		 1.00005 
0.0097		 1.00005 
0.0098		 1.00005 
0.0099		 1.00005 
0.01		 1.00005 
0.0101		 1.00005 
0.0102		 1.00005 
0.0103		 1.00005 
0.0104		 1.00005 
0.0105		 1.00006 
0.0106		 1.00006 
0.0107		 1.00006 
0.0108		 1.00006 
0.0109		 1.00006 
0.011		 1.00006 
0.0111		 1.00006 
0.0112		 1.00006 
0.0113		 1.00006 
0.0114		 1.00006 
0.0115		 1.00007 
0.0116		 1.00007 
0.0117		 1.00007 
0.0118		 1.00007 
0.0119		 1.00007 
0.012		 1.00007 
0.0121		 1.00007 
0.0122		 1.00007 
0.0123		 1.00008 
0.0124		 1.00008 
0.0125		 1.00008 
0.0126		 1.00008 
0.0127		 1.00008 
0.0128		 1.00008 
0.0129		 1.00008 
0.013		 1.00008 
0.0131		 1.00009 
0.0132		 1.00009 
0.0133		 1.00009 
0.0134		 1.00009 
0.0135		 1.00009 
0.0136		 1.00009 
0.0137		 1.00009 
0.0138		 1.0001 
0.0139		 1.0001 
0.014		 1.0001 
0.0141		 1.0001 
0.0142		 1.0001 
0.0143		 1.0001 
0.0144		 1.0001 
0.0145		 1.00011 
0.0146		 1.00011 
0.0147		 1.00011 
0.0148		 1.00011 
0.0149		 1.00011 
0.015		 1.00011 
0.0151		 1.00011 
0.0152		 1.00012 
0.0153		 1.00012 
0.0154		 1.00012 
0.0155		 1.00012 
0.0156		 1.00012 
0.0157		 1.00012 
0.0158		 1.00012 
0.0159		 1.00013 
0.016		 1.00013 
0.0161		 1.00013 
0.0162		 1.00013 
0.0163		 1.00013 
0.0164		 1.00013 
0.0165		 1.00014 
0.0166		 1.00014 
0.0167		 1.00014 
0.0168		 1.00014 
0.0169		 1.00014 
0.017		 1.00014 
0.0171		 1.00015 
0.0172		 1.00015 
0.0173		 1.00015 
0.0174		 1.00015 
0.0175		 1.00015 
0.0176		 1.00015 
0.0177		 1.00016 
0.0178		 1.00016 
0.0179		 1.00016 
0.018		 1.00016 
0.0181		 1.00016 
0.0182		 1.00017 
0.0183		 1.00017 
0.0184		 1.00017 
0.0185		 1.00017 
0.0186		 1.00017 
0.0187		 1.00017 
0.0188		 1.00018 
0.0189		 1.00018 
0.019		 1.00018 
0.0191		 1.00018 
0.0192		 1.00018 
0.0193		 1.00019 
0.0194		 1.00019 
0.0195		 1.00019 
0.0196		 1.00019 
0.0197		 1.00019 
0.0198		 1.0002 
0.0199		 1.0002 
0.02		 1.0002 
0.0201		 1.0002 
0.0202		 1.0002 
0.0203		 1.00021 
0.0204		 1.00021 
0.0205		 1.00021 
0.0206		 1.00021 
0.0207		 1.00021 
0.0208		 1.00022 
0.0209		 1.00022 
0.021		 1.00022 
0.0211		 1.00022 
0.0212		 1.00022 
0.0213		 1.00023 
0.0214		 1.00023 
0.0215		 1.00023 
0.0216		 1.00023 
0.0217		 1.00024 
0.0218		 1.00024 
0.0219		 1.00024 
0.022		 1.00024 
0.0221		 1.00024 
0.0222		 1.00025 
0.0223		 1.00025 
0.0224		 1.00025 
0.0225		 1.00025 
0.0226		 1.00026 
0.0227		 1.00026 
0.0228		 1.00026 
0.0229		 1.00026 
0.023		 1.00026 
