#Table1
objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1237654382515912884,140.90685402274,54.2975338672141,18.78814,16.98447,16.07627,15.65547,15.32093,624954475785775104,GALAXY,0.1269284
1237654383589982372,141.030592427941,55.2994459010569,19.77112,18.25294,17.48941,17.07491,16.76008,623900039671998464,GALAXY,0.1009194
1237654383589982393,141.067987728002,55.3658193746712,19.62794,18.49739,17.84036,17.47652,17.20669,624980039431120896,GALAXY,0.1203115
1237655109440766053,141.06533912386,52.458250420345,19.18195,18.12457,17.46571,17.09415,16.84519,863667246034085888,GALAXY,0.1300578
1237657402420429025,140.903940296827,46.6465195294255,19.36081,18.10286,17.43817,17.07351,16.84289,937977465559607296,GALAXY,0.1257959
1237657628978970650,141.058290602266,42.8359891621167,20.06923,19.63073,19.43193,19.1271,19.22774,1352371034602366976,QSO,1.597307
1237657775545385113,140.932716432502,43.5544675358345,21.39225,18.92117,17.50494,16.98274,16.61205,979618719867103232,GALAXY,0.2236089
1237658203960639697,141.095238072249,40.0909101813001,17.89582,16.88517,16.45952,16.30645,16.38215,1056115323649943552,QSO,2.893982
1237660343934910654,140.910279948179,38.2771905602553,26.51629,19.85501,18.20441,17.61424,17.27208,1365883212873623552,GALAXY,0.3198072
1237660635989737653,141.072275978329,38.5199134726985,20.7577,18.51156,17.40651,16.92165,16.57148,1366913176347633664,GALAXY,0.1434157
1237660669811753158,140.950506341251,8.65830950313504,20.04564,18.36565,17.45451,16.96439,16.63927,1465961582361077760,GALAXY,0.1287695
1237660669811753356,140.902579139095,8.70929877352746,20.86835,18.81761,17.7832,17.33568,16.97347,1465963231628519424,GALAXY,0.1267826
1237660962403909820,140.916413520199,36.1421833445262,20.4497,18.70236,17.47018,16.94472,16.5463,1434529572472252416,GALAXY,0.1903533
1237661064412463352,140.906370862997,8.56815933468898,20.68045,18.83053,17.78107,17.311,16.96827,1465965430651774976,GALAXY,0.1295497
1237663548519022750,140.917053173415,64.1410163349527,19.94607,17.95385,16.89392,16.45507,16.06972,2012126419827582976,GALAXY,0.120865
1237664835932455112,140.962820076573,28.4926625833915,19.54529,19.02126,18.64181,18.33119,18.33298,2181041349476771840,GALAXY,0.215174
1237667113333096615,140.968420174949,25.1012722161862,21.43416,19.27998,17.82092,17.3137,16.96341,6521327814331095040,GALAXY,0.2171185
1237667429557076129,141.075986532103,20.0123388199859,21.17028,18.88733,17.66591,17.1848,16.85113,2577252294059911168,GALAXY,0.163178
1237667781742690473,141.064492018614,15.9374437122589,20.52409,18.65284,17.70337,17.24435,16.89418,2747364062030489600,GALAXY,0.1207823
1237668288540573982,140.917588044581,14.1284380898792,20.09595,19.25461,18.74477,18.32147,18.08236,2747234319658412032,GALAXY,0.1376938
1237668288540639551,140.960898766134,14.2289871134065,20.50317,18.49004,17.34892,16.87874,16.49004,2747229096978180096,GALAXY,0.1367794
