#Table1
objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1237651190287302826,140.991704228318,56.028356052863,19.54775,17.4073,16.36121,15.91164,15.56711,507820197537671168,GALAXY,0.1217501
1237651190824304810,140.991306621878,56.5069746314039,19.34929,17.97266,17.13593,16.68212,16.38721,507822671438833664,GALAXY,0.1254075
1237651537629282372,140.994984772534,58.818391823254,17.06698,16.72158,16.65561,16.66703,16.63705,9230396665483253760,QSO,0.7093469
1237654604243599549,141.000353854229,2.73569722721532,17.81355,17.6107,17.44889,17.444,16.98261,639568084629219328,QSO,0.3481415
1237654604780535848,141.061263225594,3.15022796640038,17.96764,16.954,16.19931,15.70359,15.4059,639561762437359616,QSO,0.1281525
1237655107292692612,140.917536532937,50.2497616521884,18.72268,17.61127,17.13434,16.8166,16.66258,862447887554996224,GALAXY,0.1005603
1237657241896681531,140.912696994799,44.9351107640617,19.07969,17.87737,17.01872,16.59645,16.32328,937909295838685184,GALAXY,0.1344987
1237657628441968748,141.065254921537,42.2258439787583,19.88218,17.87496,16.73242,16.29259,15.96515,1352215178829129728,GALAXY,0.1796316
1237657773934379210,140.992704746717,41.9238639357368,19.3522,17.52452,16.51805,16.05351,15.68275,1057309666947655680,GALAXY,0.1227502
1237658204497510599,140.926753674848,40.4953149303724,18.84165,17.58585,16.86283,16.46522,16.16658,1057289600860448768,GALAXY,0.1275204
1237658493873094829,141.00418527207,8.24818488390393,20.1118,17.9323,16.84195,16.35903,15.93728,1465947288709916672,GALAXY,0.1126868
1237660411577565192,141.09760124352,6.71407520409501,17.67377,17.23838,17.28079,17.11313,17.21776,1345477372412979200,QSO,0.5882847
1237661064412463359,140.937707055356,8.46033595987217,18.83704,17.93738,17.5166,17.18525,17.09658,1465964056262240256,GALAXY,0.119897
1237661070318108992,140.911692821619,11.4058899716196,19.03493,17.91796,17.22932,16.80876,16.54197,1959188484623198208,GALAXY,0.1291254
1237663547981955240,140.964138026669,63.4956951210248,19.06252,17.34266,16.26121,15.81395,15.46744,2012121746903164928,GALAXY,0.1191251
1237664092903964977,140.917734174443,30.7964783559767,18.67019,17.06529,16.18886,15.81587,15.51692,2182154879726807040,GALAXY,0.1509992
1237664093977968674,141.051457384042,31.7533487209693,19.66024,17.72153,16.71455,16.30615,15.96082,2185479253250828288,GALAXY,0.1139646
1237664093977968796,141.091465895757,31.6305580451859,19.53054,17.53212,16.52923,16.12708,15.77211,2185458362529900544,GALAXY,0.1176778
1237664871360168196,141.050400200405,34.1931242936249,18.89176,17.62174,16.91603,16.52126,16.25578,1793656458315851776,GALAXY,0.1319785
1237667486457331870,140.997555898714,18.8603452900246,19.3523,17.83548,16.96248,16.54806,16.2071,2657242589949880320,GALAXY,0.1304517
1237667783353434220,141.028031059533,17.1884348577061,19.30594,17.28444,16.20576,15.77096,15.40256,2666228349231196160,GALAXY,0.1151714
1237667783353434373,141.027118011817,17.1461871305905,19.39386,17.63808,16.60863,16.15684,15.75617,2666227799475382272,GALAXY,0.1153068
1237668288540639614,141.0190788554,14.1338969024153,19.59936,17.50262,16.37452,15.91643,15.52519,5976471969096554496,GALAXY,0.1364013
1237668288540639684,141.064194518478,14.128372265621,19.66234,17.5865,16.42252,15.95262,15.56481,2747219201373530112,GALAXY,0.139819
1237671124300136617,141.027959798192,12.9499213566784,19.89873,17.83703,16.63394,16.143,15.9235,2901618401078175744,GALAXY,0.1281365
1237651190287302810,140.985049720886,56.0021613578512,19.80257,17.55269,16.44995,15.98984,15.6017,507782264386512896,GALAXY,0.1210921
1237651190287368325,141.057196749811,56.1360699297095,19.20185,17.54833,16.44561,15.95011,15.60817,507822121683019776,GALAXY,0.1802157
1237651753456369901,140.930005685108,1.41987463996093,19.13391,17.95879,17.30077,16.82699,16.60611,532558934637045760,GALAXY,0.1056394
1237651753456435386,141.091249654607,1.50046542118272,19.10424,17.21032,16.13471,15.68083,15.3132,532561133660301312,GALAXY,0.1379405
1237654604243665087,141.094626373884,2.707625322055,19.55226,17.95411,17.08887,16.64958,16.33307,639571108286195712,GALAXY,0.1330006
1237654651496104139,140.950789302167,50.0695641981735,18.82008,16.93399,15.97335,15.55369,15.22008,862448712188717056,GALAXY,0.1011711
1237654653644177508,140.904780590195,52.2221836005857,19.62424,17.72921,16.93451,16.47061,16.16299,863695283580594176,GALAXY,0.1041848
1237657630052974662,141.099723129738,43.9204692047464,17.80845,17.71934,17.71678,17.51804,17.48259,5287339318834386944,QSO,1.775245
1237657874329174226,140.998901473916,40.7326646413977,18.27859,17.02203,16.29572,15.91333,15.66061,1057295373296494592,GALAXY,0.1273311
1237658204497576128,141.004879697591,40.5825480963651,18.95424,16.92034,15.67928,15.18928,14.83455,1056256061138298880,GALAXY,0.1602268
1237658298452672627,141.06087751035,4.72295798708717,18.47141,17.95319,17.57406,17.4252,17.30602,1115783345771407360,QSO,1.167362
1237658424082432002,140.949860789096,5.71282011438669,18.08131,17.83447,17.68582,17.85512,17.20095,1115918585701623808,QSO,0.3379682
1237660413725048859,140.900752921401,8.31662374720351,19.54772,17.67258,16.52604,16.03043,15.58369,1465961857238984704,GALAXY,0.1321991
1237660413725049011,140.927344200373,8.28964046440485,19.70868,17.72105,16.61081,16.14521,15.77083,1465949212855265280,GALAXY,0.1305571
1237660413725049060,140.963027873769,8.35024582822895,19.65566,17.74256,16.6756,16.20619,15.83084,1465960482849449984,GALAXY,0.1305186
1237660635989737639,140.992403413383,38.5870647336828,19.06691,17.90242,17.24058,16.85571,16.6082,1366911527080192000,GALAXY,0.1439055
1237660636526674073,140.903157373658,38.9529984804796,19.33454,17.97633,17.40265,17.07777,16.87597,1366954133155768320,GALAXY,0.1176053
1237660669811753167,140.942797119867,8.68300872450012,19.3104,17.15546,15.95302,15.46455,15.07629,5971778702857754624,GALAXY,0.1308912
1237660765916496041,141.087864583977,36.8938216138994,17.94765,17.00332,16.31914,15.88601,15.66677,1434507582239696896,QSO,0.1065004
