#Table1
objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1237651753988915416,130.997103370826,1.56508835322861,20.32475,18.56861,17.36517,16.84035,16.46884,525913485889005568,GALAXY,0.2074251
1237654380901105838,130.992518018764,46.9056000677768,24.70488,19.31927,17.91142,17.3198,17.2299,859162546609874944,GALAXY,0.2146072
1237655108899897568,130.963658731694,46.1510004329516,21.3068,19.8011,18.28865,17.74476,17.36508,5813247817226147840,GALAXY,0.2683322
1237657118411522196,130.995081964726,40.0499420763234,21.05086,19.29451,17.84302,17.30119,16.93587,933432908822112256,GALAXY,0.231659
1237657628437708885,130.998487462758,36.4384714862522,22.6683,18.88865,17.6501,17.12255,16.75398,972785804772403200,GALAXY,0.2091931
1237657770165797192,130.975931640418,42.0163236231738,21.92318,19.48918,18.09852,17.49384,17.09052,5186085840590493696,GALAXY,0.2206688
1237657771239866560,130.910971599807,42.9947996242036,23.03751,19.98517,18.37747,17.78435,17.46244,5272595960203335680,GALAXY,0.325718
1237660413183787507,130.91963876177,6.73023052759463,22.53624,19.64534,17.95541,17.29443,16.87454,1461452763425695744,GALAXY,0.2968903
1237660634911408220,130.929976616301,32.0792965985429,21.55962,19.41918,17.96574,17.43025,17.12981,5837965939623352320,GALAXY,0.2486432
1237660765912170839,130.959562620108,31.5181320384691,22.00879,19.84565,18.25331,17.61346,17.21839,1428889626604496896,GALAXY,0.2925172
1237663786886103255,130.962018571952,60.2977729535792,21.49685,19.34654,17.92942,17.34935,16.95552,2009822942531184640,GALAXY,0.2044977
1237664093436576068,130.971327119216,26.3902308308591,21.21397,19.7272,18.22936,17.69492,17.28728,2173156476028217344,GALAXY,0.2474428
1237648722819875150,130.942430849274,1.1418330931657,22.45711,19.86371,18.16767,17.54379,17.16201,4289771654719232000,GALAXY,0.341903
1237650795676434655,130.914406349664,-0.402272954818628,20.15468,18.87984,17.84727,17.3877,17.03327,525861808842500096,GALAXY,0.2463002
1237651192431968573,130.922561292737,52.8109626481889,24.2125,19.8209,18.24198,17.59181,17.23992,503380369064617984,GALAXY,0.2954438
1237654601018179894,130.917047070538,2.59608912708572,21.36219,18.99545,17.65199,17.15153,16.76773,635058437184579584,GALAXY,0.2203444
1237654602628858295,130.977279958001,3.82088681024021,20.44072,18.91788,17.7157,17.21471,16.84481,1337606242306123776,GALAXY,0.230036
1237657775541256488,130.985101156912,37.8880745095246,20.47439,18.76065,17.67203,17.20844,16.86689,973975751281895424,GALAXY,0.2378706
1237658203419246947,130.926857468056,33.6759724905083,22.99757,19.45866,17.85323,17.25515,16.84364,1362436514251827200,GALAXY,0.2851847
1237660962399584489,130.962728249297,30.8866521362838,20.19785,18.32878,16.9244,16.39444,16.02883,1429980343045220352,GALAXY,0.2072917
1237661124540563747,130.978340664878,27.637850718893,21.78459,19.7774,18.19102,17.59224,17.20512,1787993698118690816,GALAXY,0.3002646
1237664092899639596,130.950734384429,25.9386718008432,21.55099,19.4735,17.94443,17.41981,17.06054,2173162248464263168,GALAXY,0.2519794
1237667537999102329,130.951091635842,15.4297655073786,21.74765,19.84584,18.27816,17.72844,17.33525,5951575181730535424,GALAXY,0.2785406
1237667731808977144,130.954706294708,14.3646287648558,20.87991,18.92513,17.6663,17.21187,16.88412,2732567659127269376,GALAXY,0.2189323
1237671123221872859,130.971397605731,9.83988621680094,18.99199,18.58496,18.40554,18.15524,17.81536,2896956746234882048,QSO,0.4519805
1237674370756968499,130.951926136576,22.4796371714913,22.18568,19.25852,17.86181,17.35601,17.06184,5035056368106887168,GALAXY,0.2073591
1237650795676500321,130.997468767945,-0.249372604801412,19.85963,19.02558,18.21803,17.72244,17.48365,14102162839751120896,QSO,0.2281968
1237650796750242319,130.990270238114,0.617300626413873,20.93611,19.22747,17.67576,17.06663,16.67246,525859334941337600,GALAXY,0.279968
1237651701915386048,130.92191075607,54.7452366786846,19.99226,19.7692,19.79666,19.50618,19.43942,8192205070814959616,QSO,0.4448279
1237657606963986561,130.953568047072,41.5503186128651,21.40489,19.39125,18.00419,17.44847,17.0672,5185981386985854976,GALAXY,0.2544524
1237657773930185032,130.91831197902,36.2116455965001,22.5793,19.77212,18.20274,17.64234,17.23644,5189390423257536512,GALAXY,0.2799352
1237658298985087384,130.929457964308,4.05963167312585,20.56991,18.46418,17.09302,16.56265,16.2391,1337605967428216832,GALAXY,0.2021654
1237658299522024297,130.953529594762,4.60874059556401,23.19888,19.2822,17.8373,17.29669,16.88782,4288805725667612672,GALAXY,0.2903021
1237660764301099325,130.908579878087,29.8999609756275,22.5421,19.79085,18.20662,17.59283,17.21995,1428808262744041472,GALAXY,0.2800571
