Temperature (K),Luminosity(L/Lo),Star type
3068,0.0024,1
3042,0.0005,1
2600,0.0003,1
2800,0.0002,1
1939,0.000138,1
2840,0.00065,1
2637,0.00073,1
2600,0.0004,1
2650,0.00069,1
2700,0.00018,1
3600,0.0029,1
3129,0.0122,1
3134,0.0004,1
3628,0.0055,1
2650,0.0006,1
3340,0.0038,1
2799,0.0018,1
3692,0.00367,1
3192,0.00362,1
3441,0.039,1
39000,204000.0,1
30000,28840.0,1
15276,1136.0,1
9700,74.0,1
5800,0.81,1
8052,8.7,1
6757,1.43,1
6380,1.35,1
5936,1.357,1
5587,0.819,1
3826,200000.0,0
3365,340000.0,0
3270,150000.0,0
3200,195000.0,0
3008,280000.0,0
3600,320000.0,0
3575,123000.0,0
3574,200000.0,0
3625,184000.0,0
33750,220000.0,0
3490,270000.0,0
3750,283000.0,0
3834,272000.0,0
3749,550000.0,0
3650,310000.0,0
3450,263000.0,0
3660,363000.0,0
3450,174000.0,0
3752,209000.0,0
3535,195000.0,0
3341,0.0056,1
3432,0.00067,1
2983,0.00024,1
2835,0.00034,1
2935,0.00014,1
3295,0.00098,1
2945,0.00032,1
2817,0.00098,1
2774,0.00036,1
2871,0.00072,1
3345,0.021,1
3607,0.022,1
3304,0.0085,1
3150,0.0088,1
3550,0.004,1
3180,0.001,1
2890,0.0034,1
3342,0.0015,1
2621,0.0006,1
3158,0.00135,1
5300,0.59,1
4526,0.153,1
4077,0.085,1
4980,0.357,1
9030,45.0,1
11250,672.0,1
5112,0.63,1
7720,7.92,1
12098,689.0,1
36108,198000.0,1
33300,240000.0,0
40000,813000.0,0
23000,127000.0,0
17120,235000.0,0
11096,112000.0,0
14245,231000.0,0
24630,363000.0,0
12893,184000.0,0
24345,142000.0,0
33421,352000.0,0
3459,100000.0,0
3605,126000.0,0
3615,200000.0,0
3399,117000.0,0
3610,132000.0,0
3553,145000.0,0
4015,282000.0,0
3625,74000.0,0
6850,229000.0,0
3780,200000.0,0
3323,0.00043,1
3531,0.00093,1
3218,0.00054,1
3146,0.00015,1
3511,0.00064,1
3225,0.00076,1
2935,0.00087,1
2861,0.00019,1
2856,0.000896,1
2731,0.000437,1
3095,0.00019,1
3607,0.00023,1
3100,0.008,1
2989,0.0087,1
3542,0.0009,1
3243,0.0023,1
3091,0.0081,1
3598,0.0011,1
3324,0.0034,1
3541,0.0013,1
29560,188000.0,1
8945,38.0,1
14060,1092.0,1
16390,1278.0,1
25070,14500.0,1
28700,16790.0,1
26140,14520.0,1
20120,4720.0,1
13023,998.0,1
37800,202900.0,1
25390,223000.0,0
11567,251000.0,0
12675,452000.0,0
5752,245000.0,0
8927,239000.0,0
7282,131000.0,0
19923,152000.0,0
26373,198000.0,0
17383,342900.0,0
9373,424520.0,0
3570,320000.0,0
3500,138000.0,0
4287,630000.0,0
26000,316000.0,0
3600,240000.0,0
3614,145000.0,0
18000,200000.0,0
11000,170000.0,0
12100,120000.0,0
24490,248490.0,0
2831,0.000231,1
2914,0.000631,1
3419,0.000245,1
3218,0.000452,1
3453,0.000621,1
2889,0.000352,1
2968,0.000461,1
3484,0.000551,1
2778,0.000849,1
3523,0.000957,1
3462,0.0053,1
3257,0.0024,1
2994,0.0072,1
3212,0.0016,1
3523,0.0054,1
3598,0.0027,1
3142,0.00132,1
3496,0.00125,1
3324,0.0065,1
3463,0.0027,1
22350,12450.0,1
10012,552.0,1
13089,788.0,1
22012,6748.0,1
34190,198200.0,1
32460,173800.0,1
9320,29.0,1
19400,10920.0,1
17140,883.0,1
8250,9.25,1
23678,244290.0,0
12749,332520.0,0
9383,342940.0,0
23440,537430.0,0
16787,246730.0,0
18734,224780.0,0
9892,593900.0,0
10930,783930.0,0
23095,347820.0,0
21738,748890.0,0
24145,382993.0,0
38234,272830.0,0
32489,648430.0,0
27739,849420.0,0
21904,748490.0,0
38940,374830.0,0
30839,834042.0,0
8829,537493.0,0
9235,404940.0,0
37882,294903.0,0
