RA,Dec,sigRA,sigDec,epoch,muAcosD,muD,sigMuAcosD,sigMuD,chi2,classMagB,classMagR1,classMagR2,classMagI,meanClass,classB,classR1,classR2,classI,ellipB,ellipR1,ellipR2,ellipI,qualB,qualR1,qualR2,qualI
0.0603176,-85.6561327,3.0939721e-05,3.4377468e-05,1986.0409,-15.408933,-4.142802,13.207605,14.45329,0.167885,19.808,18.641,18.694,-99.99999,1.0,1.0,1.0,1.0,0.0,0.290688,0.501196,0.398623,-999999900.0,0.0,0.0,0.0,-1.0
1.1485082,-47.6054131,1.3750987e-05,1.2605071e-05,1987.4203,-0.890098,3.47013,10.120668,9.302314,1.268549,17.633,18.051,17.598,16.506,2.0,2.0,2.0,2.0,2.0,0.089941,0.081843,0.102066,0.133264,0.0,0.0,0.0,0.0
1.2794331,-1.5459014,2.0053523e-05,1.8907607e-05,1982.9358,-1.289232,1.84461,7.418236,7.514676,1.084944,18.665,18.385,18.311,18.523,1.0,2.0,2.0,2.0,1.0,0.07584,0.112207,0.125367,0.418247,1024.0,0.0,1024.0,0.0
2.6488314,-30.4631581,1.6042818e-05,1.546986e-05,1982.7572,-2.54707,5.112923,11.953451,11.220845,0.305182,19.586,17.575,18.696,18.729,2.0,2.0,2.0,2.0,1.0,0.099974,0.035552,0.114302,0.509264,0.0,0.0,1024.0,0.0
2.7550595,-26.2091826,2.2345354e-05,2.1772396e-05,1989.677,-18.571392,20.215393,9.168995,9.10984,11.047,19.53,18.806,18.926,18.547,1.0,2.0,2.0,2.0,1.0,0.074927,0.150676,0.314193,0.50069,0.0,0.0,0.0,0.0
3.2495519,-39.9072049,1.9480565e-05,1.9480565e-05,1990.7178,1.218255,3.043472,11.318159,12.119475,1.667708,18.325,18.386,18.053,19.422,2.0,2.0,2.0,2.0,2.0,0.110678,0.066691,0.104536,0.238558,0.0,0.0,0.0,0.0
3.643587,-20.0088103,1.8334649e-05,1.8334649e-05,1987.1512,-11.385566,-0.758665,9.035453,9.12055,0.433148,18.839,17.891,18.207,18.347,2.0,2.0,2.0,2.0,1.0,0.07217,0.084585,0.035558,0.084053,0.0,0.0,0.0,0.0
6.0278644,-68.3485009,1.1459156e-05,1.1459156e-05,1984.8993,-0.073153,-8.807627,12.916862,15.165852,1.058818,17.619,16.78,16.546,16.915,1.0,2.0,2.0,2.0,1.0,0.069638,0.087484,0.083231,0.136533,0.0,16.0,16.0,0.0
9.2700263,-1.1598734,2.0053523e-05,1.9480565e-05,1982.4279,-1.437763,7.081771,4.563217,4.759548,0.559571,17.607,17.07,16.895,16.471,1.0,1.0,1.0,1.0,1.0,0.24209,0.259748,0.307302,0.222503,0.0,0.0,0.0,0.0
9.5582819,-61.2046403,9.7402825e-06,1.031324e-05,1988.9597,18.259684,-6.511692,9.160364,6.498474,0.102391,16.817,15.747,15.726,15.292,2.0,2.0,2.0,2.0,2.0,0.071191,0.072208,0.099698,0.120923,16.0,16.0,16.0,16.0
9.5613524,-24.9839358,1.3178029e-05,1.2605071e-05,1986.0354,10.84057,-3.83167,9.43342,9.452225,0.532905,18.895,17.486,16.938,17.652,2.0,2.0,2.0,2.0,2.0,0.173317,0.045269,0.120264,0.213505,1024.0,0.0,1024.0,0.0
10.0341159,-12.4628026,2.8074932e-05,2.6356059e-05,1984.6838,13.512279,4.333382,10.380931,9.889943,0.438757,19.648,19.541,18.877,18.766,2.0,2.0,2.0,2.0,2.0,0.138073,0.080697,0.14082,0.428742,0.0,0.0,0.0,0.0
10.7511348,-7.8972629,2.1199438e-05,2.0053523e-05,1985.6025,1.670023,-6.009023,7.029127,6.985561,0.267146,18.683,17.589,17.397,17.288,1.0,1.0,2.0,2.0,1.0,0.297918,0.152085,0.260625,0.219659,0.0,0.0,0.0,0.0
12.4978659,-57.6407924,1.7761692e-05,1.6615776e-05,1986.2919,5.111572,14.951224,9.668294,7.919226,0.631418,17.486,17.136,17.596,17.077,1.0,2.0,1.0,1.0,1.0,0.14007,0.317836,0.187657,0.259695,16.0,0.0,0.0,0.0
12.7895862,-42.4425385,2.0626481e-05,1.9480565e-05,1989.7352,-7.310055,7.128487,10.209578,9.362693,0.558249,19.126,18.535,18.025,18.339,1.0,2.0,2.0,2.0,1.0,0.218564,0.106522,0.181309,0.367755,0.0,0.0,0.0,0.0
13.7192229,-4.6176262,1.2032114e-05,1.2605071e-05,1985.3197,-10.029304,-7.986498,2.497753,2.968364,1.892453,15.946,15.716,14.804,14.323,1.0,1.0,1.0,1.0,1.0,0.282727,0.292419,0.229951,0.216363,16.0,0.0,16.0,16.0
14.6940653,-56.9864327,1.8334649e-05,1.4896903e-05,1989.1313,-1.81333,-10.598268,7.029448,5.802974,0.275606,17.906,17.632,17.39,17.027,2.0,2.0,2.0,2.0,2.0,0.099541,0.041023,0.059285,0.048186,16.0,0.0,0.0,0.0
15.5777003,-75.7810395,1.4896903e-05,1.546986e-05,1984.5629,-5.725705,1.754708,9.132787,9.326837,0.560446,18.445,17.254,17.263,16.838,2.0,2.0,2.0,2.0,2.0,0.149121,0.120391,0.062535,0.3299,1024.0,1024.0,1024.0,1024.0
15.7754836,-51.1558566,1.1459156e-05,1.031324e-05,1986.0371,-5.353056,-10.279841,8.561474,7.688994,1.233523,18.061,16.927,16.888,16.462,2.0,2.0,2.0,2.0,2.0,0.05618,0.051971,0.035001,0.087974,16.0,16.0,16.0,0.0
