JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456299.99406,14.768,0.024,,B,BHQ,,ENSEMBLE,147,10401GAV,,0,2.065,Z,,15.236,,SN 2013E,VSS,STD,,,,
2456299.99792,14.370,0.022,,R,BHQ,,ENSEMBLE,147,10401GAV,,0,1.996,Z,,14.234,,SN 2013E,VSS,STD,,,,
2456299.99957,14.319,0.049,,I,BHQ,,ENSEMBLE,147,10401GAV,,0,1.968,Z,,13.839,,SN 2013E,VSS,STD,,,,
2456300.00873,14.588,0.017,,V,BHQ,,ENSEMBLE,147,10401GAV,,0,1.865,Z,,14.634,,SN 2013E,VSS,STD,,,,
2456303.2667,14.3,,,Vis.,PEX,,139,147,10401GBD,,,,Z,,,,SN 2013E,RASNZ-VSS,STD,,,,
2456304.026527,14.28,0.03,,B,NLX,,Ensemble,144,10401FZM," 	Mags ave 3 measures ",0,1.56,Z,,15.09,,PSN J10000552-3414013,AAVSO,STD,,,,
2456304.030830,14.165,0.008,,V,NLX,,Ensemble,144,10401FZM," 	Mags av 3 measures ",0,1.52,Z,,14.44,,PSN J10000552-3414013,AAVSO,STD,,,,
2456304.21962,14.119,0.134,,V,HKEB,,000-BKV-514,000-BKV-513,10403OWK,,0,1.000,Z,13.520,13.316,,SN 2013E,AAVSO,STD,,,,
2456305.69420,14.0,,,TG,TYS,,135,144,1041GDM,,,,Z,,,,SN 2013E,AAVSO,STD,,,,
2456306.27117,14.042,0.054,,V,HKEB,,000-BKV-514,000-BKV-513,10403OWK,,0,1.049,Z,13.520,13.316,,SN 2013E,AAVSO,STD,,,,
2456307.053980,14.14,0.01,,B,NLX,,Ensemble,144,10401FZM," 	Mags ave 3 measures Ap 6/24/34px ",0,1.31,Z,,15.07,,PSN J10000552-3414013,AAVSO,STD,,,,
2456307.058351,14.006,0.007,,V,NLX,,Ensemble,144,10401FZM," 	Mags ave 3 measures. Ap 6/24/34 ",0,1.29,Z,,14.44,,PSN J10000552-3414013,AAVSO,STD,,,,
2456307.22693,14.017,0.063,,V,HKEB,,000-BKV-514,000-BKV-513,10403OWK,,0,1.004,Z,13.520,13.316,,SN 2013E,AAVSO,STD,,,,
2456309.040958,14.131,0.008,,B,NLX,,Ensemble,144,10401FZM," 	mags ave 3 measures ",0,1.36,Z,,15.06,,PSN J10000552-3414013,AAVSO,STD,,,,
