# data approximating 13 star (I don't know which) near the centre of the galaxy
# units are arcsecond distance from the black hole. Distance to BH ~ 8kpc.
# This initial data corresponds to t = 1995.0200 (step = 1) in stars13.dat.
# Length unites: each unit is an arcsecond distance from the black hole. The
# center of our galaxy is about 8000 parsecs (or 8 kiloparsecs) from Earth. And
# at that distance, 1 arcsecond is ~0.04 parsecs = 8000 astronomical units
# (AU). [http://astro.uchicago.edu/cosmus/projects/UCLA_GCG/README.html]
# Time is measures in years
# Mass is measures in solar masses
# 1:x 2:y 3:z 4:vx 5:vy 6:vz 7:mass
 0 0 0 0 0 0 4.3e6
 -0.149438   0.068367  -0.102779   0.001875  -0.03475  -0.0357   1.
 -0.028988   0.164717   0.134333   -0.011325 -0.0054   0.004375  1.
  0.141419   0.101052  -0.408425   0.01905   0.0051    0.031075  1.
  0.259620  -0.138803   0.308951   0.0187    -0.0169   0.027     1.
  0.170643  -0.263284  -0.345612   0.00385   -0.014875 0.029875  1.
  0.104908  -0.406364   0.441133   -0.0054   0.001925  0.023825  1.
 -0.334829   0.386242   0.093404   0.0014    -0.011575 -0.020425 1.
  0.191074   0.172231  -0.063103   -0.01955  -0.015625 0.01275   1.
 -0.030979  -0.233155   0.001180   0.00425   -0.003525 -0.047075 1.
  0.052471  -0.002360   0.039248   -0.0497   -0.0634   -0.028575 1.
 -0.082080  -0.242158   0.079732   -0.022925 0.017175  -0.010626 1.
 -0.053809  -0.080233  -0.096429   0.02005   -0.053475 0.010475  1.
  0.359313   0.103484  -0.904504   -0.00015  0.01005   0.002     1.
