z_sample,mu_sample
5.741629153549434594e-01,4.252135367329269400e+01
7.393619114140701498e-01,4.331201592526240063e+01
6.222906590280818939e-01,4.460149061538303528e+01
5.707983976440194063e-01,4.239873418741278499e+01
4.736212538436816999e-01,4.164112492939931798e+01
6.639683377403495790e-01,4.302558923933040802e+01
4.842857462533004531e-01,4.130250309405185760e+01
1.040049036946482985e+00,4.440537867188080412e+01
1.343969592791167234e+00,4.454695430979025872e+01
4.432977358619031305e-01,4.025707568862737418e+01
8.415829286158165168e-01,4.358531175498458765e+01
5.572823840151597263e-01,4.223727409107785036e+01
5.908836553583319828e-01,4.113721385560736366e+01
1.147343136384627593e+00,4.441566639776058167e+01
1.886272437507779398e-01,4.112721744473954288e+01
2.062190140437476227e-01,4.047908220286274883e+01
1.133550826629609182e-01,3.911477463959337797e+01
9.097792270687138361e-01,4.254225333550237309e+01
8.214475145811753753e-01,4.404025816183990116e+01
9.861272072523559196e-01,4.421696005608994540e+01
1.484065267630334084e+00,4.571101041690535993e+01
8.530818487999807243e-01,4.409042810539911272e+01
5.028167155460296911e-01,4.098259487412390456e+01
8.248932371080243131e-01,4.354799760061315084e+01
2.367932810862283244e-01,3.966174090297874244e+01
6.579936514887776422e-01,4.293286935062294418e+01
2.592356609805561707e-01,3.975552391302953481e+01
1.229789917053121462e+00,4.597429282498413983e+01
5.514077210742065471e-01,4.169494888244860675e+01
4.667858065480199325e-01,4.122699423036615940e+01
3.551382692454392309e-01,4.143615614841102968e+01
8.158156846081126012e-01,4.251232711439295286e+01
4.986544107188025099e-01,4.184497815916312646e+01
5.912268550297847813e-01,4.190418523840216380e+01
1.102178908414677694e-01,3.974397814409086038e+01
6.362948630360617530e-01,4.364407662495166562e+01
6.310362981355838174e-01,4.281426303490810881e+01
6.356261298650476288e-01,4.251391030810432881e+01
1.225242799276446970e+00,4.559494538879992831e+01
7.015270892111449275e-01,4.354263115594379485e+01
4.254842822226414523e-01,4.229869551324740939e+01
4.838588700361984851e-01,4.214256906881677622e+01
7.190571964284380169e-01,4.159052454386179676e+01
1.757882949942888018e-01,3.952222997778513047e+01
6.854308279631464718e-01,4.257805702141819637e+01
6.895180268747015395e-01,4.372675267737793092e+01
3.139149262313544186e-01,4.198537456004040536e+01
2.465126231280599101e-01,3.985051633767933765e+01
3.928893058249575687e-01,4.206296133700031703e+01
4.286034570241458730e-01,4.347770287265705491e+01
5.927829791166150386e-01,4.206584756883814435e+01
4.850659474033948149e-01,4.376065667388733971e+01
1.640707509380705531e+00,4.459111230364509737e+01
2.213253186392455663e-01,4.020358305762668749e+01
3.127422385370023927e-01,4.103367437936575612e+01
2.744947242407361210e-01,4.072659319440177228e+01
6.712808050310550279e-01,4.222963273217399660e+01
3.466897512188035768e-01,4.075803685813026078e+01
5.066058807757891636e-01,4.165630310660207414e+01
3.400027496123475546e-01,4.155839866918948644e+01
2.725376672619054252e-01,4.099984177991048284e+01
2.293743810431818353e-01,4.228604620796553348e+01
6.745811742172592718e-01,4.436495212193323567e+01
2.547287389020310155e-01,4.006562591997357714e+01
3.030937182252241291e-01,4.126349411556054747e+01
4.323293966949074973e-01,4.280838173008660874e+01
8.890651786821817115e-01,4.382051928712563438e+01
2.164253175219050807e-01,4.006507611381679368e+01
9.196823960556356203e-01,4.393270356369698959e+01
2.154190851878723112e-01,4.089908595123694823e+01
1.458937275995295879e+00,4.428322848875285445e+01
5.084469051982154486e-01,4.198927162928816870e+01
1.462312891212567578e+00,4.561182939623337518e+01
6.242299266527661095e-01,4.313837780621321372e+01
7.688473026134423627e-01,4.363048196642805010e+01
1.471493508436228503e-01,3.886990905330956991e+01
3.687400251986265864e-01,4.236690771666661703e+01
2.385700735213090173e-01,4.230374303034700745e+01
3.786275631162778765e-01,4.190927910272991852e+01
2.372132572639239489e-01,4.017826595443062843e+01
3.947764467236923869e-01,4.234346175468869689e+01
4.664833780724894075e-01,4.156406820384798806e+01
1.805597843823096293e-01,3.901718490297650987e+01
7.132627123068724373e-01,4.322851970693635337e+01
5.896133892969176449e-01,4.022524590625163654e+01
3.557618767267089477e-01,4.030126434237559607e+01
5.525708268075962826e-01,4.218605475019681705e+01
2.132392904346199491e-01,3.887108726513071844e+01
5.978863262767942777e-01,4.173998549022392979e+01
1.161676000965026878e+00,4.408328686247219963e+01
3.952091050879957268e-01,4.010875039941458908e+01
6.861079933409981457e-01,4.270226925558223030e+01
2.490827636125258204e-01,3.998745412582751158e+01
7.407106963668297350e-01,4.332283336843184429e+01
3.736377953608581159e-01,4.257032498517379082e+01
2.924150652861496336e-01,4.103284313667256811e+01
6.073799191810387299e-01,4.278766092880171357e+01
1.131160388147192802e-01,3.866314192857358023e+01
9.030931887464564989e-01,4.405509863454476971e+01
6.671122225246173265e-02,3.649765741950805875e+01
6.971919242930787464e-01,4.302528865682474901e+01
3.592116562220856180e-01,4.168263798532530728e+01
7.637164598811885252e-01,4.205418872279511788e+01
1.333298676033855878e+00,4.575348697034187495e+01
3.432711855619807184e-01,4.228121000446779476e+01
5.980742841130076703e-01,4.212382491976414656e+01
6.124095389995054539e-01,4.255881148783766577e+01
5.946021547933280083e-01,4.187303563600735856e+01
3.237350696302350728e-01,4.177664685705546788e+01
1.273018996996815089e+00,4.370801236633411690e+01
4.916443785475026473e-01,4.199905066057849723e+01
9.360179629315180660e-01,4.308941727106639519e+01
7.211511545903895870e-01,4.327555859942908967e+01
3.795876173732188330e-01,3.986758450000809972e+01
8.768150077238289208e-01,4.504651766094942644e+01
4.530852771427508752e-01,4.108894851481659316e+01
1.012510074196365517e+00,4.420172598583748425e+01
6.026528660985620567e-01,4.254381690787835879e+01
1.014078883818376964e+00,4.339794322868570475e+01
7.133290867202675134e-01,4.234137443542244483e+01
7.514416189733746920e-01,4.424221499530313650e+01
5.345594957216478482e-01,4.193060482061930117e+01
1.292907406572578743e+00,4.507641299251523748e+01
6.620562205731025385e-01,4.222798560012481772e+01
4.737738732448611989e-01,4.150235177507491358e+01
6.256758243851073820e-01,4.329845497710365265e+01
1.111164830760691530e-01,3.934487918137552498e+01
3.826496254165727695e-01,4.139496586256032629e+01
6.785488591134067882e-01,4.169635322185318671e+01
3.741357089097456234e-01,4.335853608950298366e+01
6.366573965845163663e-01,4.207247757973728142e+01
4.775246678770597719e-01,4.067959503065655724e+01
2.523446579690351022e-01,4.286780956122919406e+01
3.802133687516551230e-01,4.116571007251258152e+01
5.925780800854708597e-01,4.130741539751403479e+01
6.113423103389377111e-01,4.213167716629585868e+01
5.964429802711959105e-01,4.307001397172361123e+01
6.713752628035692949e-01,4.321758738360844632e+01
6.702555788511791457e-01,4.221211537668028768e+01
4.795521164454488172e-01,4.386247329948254503e+01
1.053166340649441812e+00,4.373590020427253222e+01
4.314645465442234484e-01,4.075792475176417184e+01
4.829621916487164546e-01,4.306859203241224776e+01
1.040454191019889674e+00,4.552494706150771009e+01
8.642986874349800619e-01,4.291779432942722394e+01
7.261870643735235387e-01,4.189293229048269041e+01
2.195347361280011733e-01,4.109365444338140350e+01
1.125030356082681759e+00,4.240486097671858090e+01
7.382412673981281204e-01,4.210466390230008926e+01
2.202376527946191320e+00,4.723393869287089331e+01
2.644800425637719443e-01,4.057282740111062225e+01
9.818406270983419670e-01,4.380048592263705132e+01
2.754812223303448326e-01,4.104769824209833473e+01
6.343183031915226033e-01,4.273680817731169412e+01
2.418913256165732273e-01,3.922248904616971998e+01
9.391927185592767735e-01,4.518812651056693852e+01
8.661239743999503693e-01,4.501106091914103757e+01
5.918149972070042564e-01,4.289442509680161209e+01
4.611272589993847260e-01,4.208393862206425240e+01
1.864748059174345940e-01,4.185983820296617353e+01
7.188284343293107614e-01,4.295117309920203752e+01
4.966240120252436996e-01,4.199031963624796759e+01
7.475657290779159636e-01,4.367531325299586342e+01
9.779255038194037963e-01,4.549195434210378153e+01
1.448696750283201551e+00,4.671116724454930136e+01
9.550943012587048697e-01,4.373128654640310486e+01
9.230615688065020585e-02,3.836960322613585106e+01
4.258330572697071048e-01,4.054349052174777057e+01
7.572461574818739605e-01,4.305593006904497599e+01
2.830275248182642089e-01,4.002310688852282539e+01
5.507340833794913681e-01,4.155128323385364553e+01
1.683432381710777415e-01,4.101569063048792430e+01
3.057869588804619232e-01,4.025844978883337433e+01
1.096150911974099473e-01,3.804047949994778577e+01
8.446005644284882985e-01,4.400795963168430092e+01
3.243828950876836981e-01,4.233398795779551449e+01
4.149987982055656777e-01,4.221756688091168996e+01
1.156894713718774170e+00,4.723662601678125839e+01
7.267914251232813205e-01,4.317527820553475237e+01
1.353730378887806618e-01,3.922657071894771263e+01
2.773104532484362283e-01,4.099372633874291694e+01
6.399731711531132516e-01,4.428175966717332557e+01
5.990301918751731458e-01,4.321495395756475943e+01
3.350511959293925868e-01,4.111116019712618908e+01
1.181836754959719071e+00,4.362331389577020246e+01
6.328058816315560442e-01,4.311081243153984133e+01
5.629458886300124920e-01,4.389907199588924414e+01
6.104649546310452202e-01,4.238884789040702827e+01
7.574084150826058126e-01,4.386981071783957731e+01
3.903158762391558123e-01,4.183870923395342345e+01
4.543744561255723680e-01,4.281475925956143413e+01
3.134955248178442622e-01,4.030884055519958764e+01
2.948256963136683950e-01,4.304920731318100025e+01
1.228318034050243757e+00,4.339657437800451589e+01
7.692118167123104255e-01,4.304599626664589351e+01
5.257856316708027222e-01,4.327462958107782498e+01
3.270596446538132085e-01,4.143121735509843973e+01
3.474905821916826620e-01,4.208017807409418509e+01
1.730529073736627732e-01,3.914245029838749446e+01
4.818503734313509534e-01,4.208583385895472162e+01
3.902057004517351380e-01,4.161992925207583482e+01
7.176039117130140754e-01,4.472635648456761714e+01
4.390506805979415006e-01,4.256150388572805099e+01
2.895199248854236074e-01,4.158012040090893180e+01
1.224461701316541667e-01,3.818642488413233593e+01
1.842392407797114606e-01,4.060285424585903513e+01
6.988938209609941721e-01,4.335951974505724849e+01
4.967439338449792796e-01,4.354853675364963550e+01
5.637451176021607280e-01,4.448586665322225997e+01
1.053516236717000343e+00,4.394838615954053296e+01
1.687527299776372391e+00,4.511676038228262087e+01
3.189674786484266722e-01,4.029725245471509254e+01
6.815686602074109146e-01,4.293702734188164527e+01
3.542155723483050855e-01,4.100612673276711462e+01
1.142812572819873057e-01,3.891393032897823900e+01
7.938403843937704707e-01,4.334455321620707480e+01
3.962787289244597555e-01,4.131096088088533946e+01
4.433144553438875257e-01,4.293823409857981233e+01
6.090163476500795037e-01,4.187855759302505021e+01
9.069087780021308776e-01,4.426752099646640204e+01
6.472297041151547914e-01,4.254768655999934879e+01
9.922170980652185168e-01,4.479911432501378954e+01
3.618470211014755411e-01,4.270077381850030918e+01
8.513396927561749372e-01,4.337838586778944716e+01
2.943790953690437751e-01,4.129619063078889241e+01
1.273264944599620030e+00,4.494270644262014969e+01
7.077343941202156596e-01,4.240576198960053489e+01
3.178926796904390506e-01,4.130718585010479416e+01
1.243548866253828100e+00,4.498805857694194543e+01
7.583151936989893649e-01,4.376079464848233158e+01
3.471786630607376911e-01,4.112537761151452997e+01
3.161910493294398106e-01,4.115846176858523364e+01
5.483854784556648765e-01,4.140648520578739777e+01
1.243303317405664160e-01,3.848448225267183886e+01
3.116450492296319319e-01,4.154693252014298821e+01
4.744069730025552434e-01,4.295663590701917656e+01
4.363813058421163182e-01,4.150172911714663115e+01
5.044587611045223685e-01,4.237565434384722352e+01
3.648901242408298939e-01,4.164807676326461205e+01
6.076258014110227368e-01,4.296110423026643588e+01
9.723315985506443271e-01,4.456339500762284445e+01
2.361039924487132458e-01,3.869321888028335366e+01
5.477064530283625166e-01,4.244651321188487714e+01
2.493236209725989971e-01,4.069407955303436353e+01
7.413433338472424916e-01,4.233425647184618867e+01
4.527502138695490008e-01,4.356700014615205419e+01
5.885765282628732109e-01,4.283805047786209741e+01
2.924862678896961166e-01,4.230961322584843032e+01
2.605282126018997890e-01,3.986511739419983513e+01
5.238582559614611833e-01,4.151622958870319025e+01
4.225962219470954517e-01,4.202450581219532921e+01
1.209420997499095929e+00,4.295903688103781803e+01
8.033191653976257118e-01,4.372532558513748313e+01
7.809471875168292332e-01,4.353480637867756542e+01
1.073941137909085519e+00,4.530415796338184009e+01
2.023013050249040656e-01,4.059345043042169010e+01
5.770693127172512593e-01,4.223388945258186311e+01
6.055379405426797312e-01,4.171114446482695826e+01
1.331512714328890068e+00,4.659451228467818140e+01
3.756700119581791730e-01,4.077408373088864124e+01
3.372792570225431885e-01,4.026864853806146272e+01
2.196010122241819906e-01,3.918372217035464189e+01
1.047363461386593697e-01,3.936662576161096183e+01
1.162602081092837469e+00,4.400407125451348378e+01
6.887537849079667929e-01,4.237804867544643628e+01
8.316982075771023331e-01,4.374426874822150779e+01
3.679399281185121162e-01,4.126531608279707086e+01
6.072868442040481041e-01,4.211931818573786757e+01
1.803291216875935743e-01,4.035795826385314911e+01
5.219143903019528574e-01,4.337531869631857973e+01
1.470705368829372306e+00,4.614395878944777252e+01
1.001317962549026053e+00,4.486602542112859027e+01
