ug,gr,gi,gz,petroRad_i,petroR50_i,deVAB_i
1.121708,1.39658,2.130693,2.535936,4.519153,1.872421,0.5599636
1.792809,1.768518,2.524124,2.907356,4.24383,1.669696,0.9144205
1.89439,0.9232388,1.339203,1.679128,6.378449,2.613452,0.914933
1.84079,0.8907413,1.288263,1.59309,2.717706,1.217582,0.5773458
0.5149326,0.7679768,1.59481,2.005058,3.370125,1.448429,0.8039334
4.300476,1.798563,2.479084,3.022495,5.383784,2.170056,0.8247692
1.845171,1.482323,2.62989,2.838364,2.789379,1.371091,0.682269
0.8496323,1.561661,2.987844,3.391336,43.77034,1.874359,0.6824235
0.8801193,0.9978752,1.434355,1.967255,2.106659,1.004154,0.6419648
2.460579,1.804712,2.449745,2.74221,4.760158,1.816702,0.8264318
2.261122,1.588793,2.13522,2.542738,4.816254,1.660566,0.7140034
1.478418,1.625305,2.921947,3.533075,3.439931,0.9001108,0.8633173
1.823496,1.098845,1.572985,1.921814,4.58021,1.801169,0.521351
3.798161,1.768375,2.650177,3.155083,5.417802,1.293406,0.420464
2.529747,1.604029,2.372984,2.78574,2.742359,1.092045,0.3700529
0.6583481,1.58173,2.401232,2.934429,2.65036,1.395246,0.8632317
2.903091,1.577827,2.675928,3.180044,3.094059,1.255366,0.419988
2.425621,1.878277,2.732754,3.207037,5.67211,2.142061,0.9949147
1.261497,1.852842,2.865049,3.185123,3.368863,1.159768,0.8110939
2.256687,1.67417,2.360699,2.771404,5.255934,2.101434,0.7842352
2.222378,1.282953,2.619886,3.018904,2.920395,1.175484,0.5797524
1.92132,0.9554005,1.370296,1.739786,4.078527,1.718141,0.8036345
0.04207039,1.66226,2.684225,2.924828,4.352136,1.659644,0.3522942
1.115808,1.287998,2.254564,2.546497,3.538608,1.500367,0.6369118
2.310595,1.229641,1.697969,2.081337,5.085132,2.077508,0.973233
2.020115,1.068035,1.41468,1.805117,3.46223,1.526533,0.6924131
2.0749,1.21242,1.715153,2.051094,4.955772,2.134607,0.9833823
0.70965,1.579502,2.686359,3.018974,2.46043,0.889321,0.5875352
1.514772,1.711628,2.502748,3.013651,2.244897,1.037135,0.6998745
0.5488281,1.427795,2.181192,2.375244,2.886778,1.3371,0.350003
1.336315,1.739243,2.507721,2.86795,3.792028,1.65872,0.9238263
1.212936,1.81772,2.628155,2.999277,4.488919,1.929415,0.8247196
1.716084,0.9708138,1.460512,1.82251,4.757281,2.023168,0.2220454
1.952112,1.588034,2.707481,3.245434,3.106312,1.264513,0.7002462
0.4378624,1.097658,1.938301,2.38854,2.911808,1.120886,0.8554418
0.2119122,2.214132,3.461939,4.136316,3.966031,1.822094,0.5618139
2.957737,1.336061,2.471672,3.123873,2.630517,1.494019,0.4922579
0.1126041,1.767208,2.737364,3.30607,2.730026,1.246598,0.366116
4.251003,1.888958,2.573656,2.944403,9.752649,1.457842,0.7653788
0.9346504,1.661333,2.441042,2.892937,2.457812,1.119208,0.8808022
1.723869,1.236944,2.066786,2.552017,4.380109,1.553916,0.5647376
4.060497,1.748537,2.862677,3.342707,2.902043,1.442335,0.3832548
0.7656174,0.2466679,0.5800152,0.5858574,1.962312,0.9694194,0.7247335
2.152395,1.198399,1.652952,2.034855,3.507464,1.493355,0.5500529
2.454302,1.683714,2.420139,2.877214,2.762448,1.107153,0.6839442
2.902903,1.621483,2.827944,3.379486,2.528962,0.8136827,0.8584974
1.207256,1.409374,2.146305,2.554926,1.82864,0.9101099,0.3533733
1.593243,1.329542,2.177174,2.423803,2.849929,1.305181,0.8209955
1.746866,0.7903481,1.138784,1.468055,6.479869,2.42484,0.7401513
1.480804,0.79006,1.195141,1.473524,3.028073,1.420903,0.4093833
1.788746,1.863585,3.019783,3.635473,4.282266,1.419044,0.5909829
2.570024,1.341722,2.448614,2.789043,3.262864,1.332905,0.4016428
1.790609,1.461546,2.454931,2.864531,2.986744,1.159512,0.5647333
1.970102,1.014496,1.479439,1.851255,2.994657,1.327324,0.3545908
2.082428,1.4102,2.229937,2.378597,2.072911,0.8923565,0.9889837
1.984154,1.085649,1.531387,1.892086,9.155128,3.567977,0.9342588
1.845034,1.359354,2.100302,2.607544,2.162143,1.038997,0.3794479
0.8899612,1.63694,2.469357,2.946297,3.92507,1.536762,0.5972372
0.8937397,1.686781,2.512171,2.87092,3.083977,1.367858,0.9209393
1.735558,0.7807379,1.188073,1.487947,9.702306,4.19853,0.5192701
0.8288708,0.2164154,0.3840065,0.4975815,5.085358,2.45109,0.6126949
1.879444,1.137072,1.604259,1.961311,4.710262,2.123683,0.9046503
1.633457,0.8297863,1.228786,1.557323,5.411345,2.501674,0.9189625
2.148151,1.279917,1.742889,2.114494,4.583225,1.789661,0.6975074
1.56605,0.7263813,1.12327,1.453434,3.906857,1.803603,0.3696211
1.625757,1.342543,2.349516,2.549583,5.740341,2.20867,0.4086538
0.5149498,1.107862,1.949404,2.355574,6.520772,1.336491,0.6082338
1.120687,0.4312897,0.7622814,0.8871937,5.211994,2.493848,0.6944697
1.832428,1.044273,1.484381,1.792126,4.460849,1.95405,0.6467956
1.776121,0.9107037,1.25886,1.548267,2.043811,0.9521012,0.8110477
1.927639,0.9744701,1.377472,1.719475,4.21943,1.90063,0.5186676
0.3368645,1.764414,3.102764,3.455614,68.28922,1.752614,0.9738505
-0.1301575,2.227665,3.419331,3.844725,2.665438,1.302237,0.4820764
1.85408,1.219715,2.681936,2.993258,27.91457,1.382164,0.7045129
4.397297,1.566692,2.917778,3.500692,2.97433,1.169288,0.8701207
