007.139167 00.919444|19.53|17.88|17.21|16.81|16.66|0.10429|Sy2      |Sy2.0/LINER
015.523750 14.723611|20.13|18.33|17.17|16.65|16.30|0.18817|Sy2      |Sy2.0/LINER
025.579167 13.462778|18.58|18.25|17.87|17.78|17.34|0.26685|Sy1      |Sy1.5
027.067917 00.329167|18.49|16.91|16.01|15.53|15.21|0.09200|Sy1      |Sy1.9/LINER
117.150833 24.006667|19.79|19.19|18.56|18.15|18.15|0.40972|BZQ      |Em
118.184167 45.949444|17.15|15.37|14.43|13.95|13.61|0.05145|Sy1.9    |Sy1.9/LINER
121.395833 24.164167|18.12|16.23|15.37|14.88|14.56|0.05968|Sy2      |LINER
123.349167 07.568056|18.75|16.76|15.74|15.20|14.86|0.11239|Sy1      |LINER
124.480000 31.473889|19.41|17.63|16.81|16.28|16.01|0.12376|-        |Sy2.0/LINER
125.390417 47.043333|19.32|17.86|16.89|16.37|16.10|0.12825|Sy1      |Sy1.5/LINER
125.539583 47.098056|18.43|17.21|15.68|15.14|14.85|0.12708|Sy1.5    |LINER
125.752083 06.891667|18.99|18.74|18.35|18.09|17.82|0.25224|Sy1      |NLS1.8
129.470000 44.840556|20.31|18.50|17.14|16.62|16.31|0.20657|Sy2      |Sy2.0
135.224167 38.937778|21.70|19.73|18.42|18.00|17.70|0.22828|AGN      |Sy2.0
135.272083 29.029444|20.49|18.64|17.63|17.19|16.92|0.19405|Sy2      |LINER
137.891250 44.380556|18.57|18.41|17.92|17.68|17.13|0.29753|Sy1      |Sy1.2
138.006667 53.343333|19.10|16.96|15.94|15.50|15.20|0.10173|Sy2/BZG  |LINER
140.285833 45.649444|19.30|17.91|16.81|16.29|16.10|0.17456|Sy1.9    |Sy1.9/LINER
143.965417 61.353333|16.58|14.89|14.08|13.59|13.14|0.03939|Sy1      |LINER
144.970000 35.899444|19.41|17.87|16.76|16.34|16.12|0.13657|Sy2      |Sy2.0/LINER
145.015833 51.072500|20.53|18.87|17.63|17.06|16.75|0.20661|Sy1      |LINER
145.350000 39.745000|18.66|17.08|16.11|15.65|15.32|0.10750|Sy2      |Sy2.0
145.436667 57.856667|18.48|17.74|16.86|16.41|16.12|0.15855|Sy1      |Sy1.8
146.357917 35.350833|19.07|18.32|17.63|17.34|17.21|0.20777|Sy?      |Sy1.8
146.937917 07.422222|17.35|16.64|16.12|15.40|15.39|0.08556|Sy1.5    |Sy1.5
148.737083 09.498611|18.15|18.05|17.70|17.82|17.18|0.29825|Sy1.5    |Sy1.5
150.456250 28.786111|18.55|17.96|16.83|16.63|16.81|0.18490|Sy1.9    |Sy1.9
150.493750 55.680556|13.72|12.16|11.25|10.72|10.31|0.00393|Sy2      |Em
151.507083 34.903056|17.80|16.11|15.09|14.63|14.27|0.09936|LINER    |LINER
157.931250 52.426389|20.00|18.49|17.34|16.80|16.49|0.16651|AGN      |Sy1.9/LINER
163.751667 52.033333|19.27|18.61|17.73|17.23|17.17|0.18753|AGN      |Sy1.5
167.189583 02.044444|18.99|17.61|16.62|16.13|15.82|0.15764|Sy1/BZG  |Sy1.9/LINER
168.636667 10.842778|20.12|18.65|17.41|16.89|16.57|0.19327|Sy1      |Sy1.9
168.662083 32.692500|21.22|18.95|17.13|16.10|15.81|0.18758|Sy1n     |NLS1.8
169.779167 60.075000|19.11|18.09|17.46|17.14|16.62|0.26428|Sy2      |LINER
170.114583 58.936944|19.54|18.11|17.04|16.63|16.34|0.15875|Sy2      |LINER
171.158750 37.377778|18.80|18.55|17.72|17.23|17.09|0.22689|Sy1      |Sy1.5
171.494583 20.098333|18.38|17.36|16.62|16.19|15.91|0.13297|-        |LINER
172.131667 58.562222|13.98|13.16|12.64|12.35|12.02|0.00999|HII      |HII
172.589167 00.972778|18.45|17.15|16.21|15.75|15.54|0.13258|Sy1.8    |Sy1.9
174.338750 61.333611|19.26|17.82|16.88|16.35|16.10|0.11114|Sy2      |LINER
175.200000 46.368056|16.01|15.80|15.63|15.25|15.26|0.11452|Sy1/BZQ  |NLS1.2
175.745000 01.906111|19.45|18.32|17.64|17.26|16.97|0.13244|Sy2      |LINER
175.915000 46.355556|18.51|16.46|15.38|14.90|14.58|0.11603|Sy       |LINER
176.410417 44.339167|19.31|18.60|17.81|17.39|17.03|0.29974|Sy2      |LINER
176.842083 35.018889|17.10|15.47|14.59|14.11|13.84|0.06289|Sy2/BZG  |Sy1.9/LINER
178.586250 45.391389|19.15|18.23|17.31|16.91|16.74|0.19150|Sy1      |Sy1.9/LINER
179.078333 31.468056|19.24|18.90|18.59|17.98|17.74|0.41743|Sy2      |HII
179.365000 43.301389|18.18|18.06|17.58|17.25|17.25|0.23033|Sy1      |NLS1.2
180.764583 60.521667|17.27|16.02|15.25|14.82|14.55|0.06530|LINER/BZB|Em
183.540417 54.526389|14.45|13.73|13.23|13.15|12.76|0.00818|HII      |HII
184.707917 50.438056|19.72|18.38|17.18|16.88|16.68|0.19920|Sy2      |Sy2.0/HII
185.805000 54.151944|17.36|16.96|16.57|16.18|16.13|0.15579|Sy1.5    |Sy1.5
186.304167 32.233889|16.69|14.80|13.89|13.41|13.07|0.05923|Sy2      |LINER
188.567917 50.907222|19.70|18.14|16.99|16.46|16.13|0.17248|Sy?      |AGN
188.626250 41.159444|19.75|18.45|17.20|16.95|16.78|0.19093|Sy2      |Sy2.0
193.550000 27.625556|18.48|16.54|15.61|15.16|14.87|0.08582|Sy2      |LINER
195.997917 03.658889|20.54|18.74|17.50|16.98|16.67|0.18392|Sy1      |Sy1.9
197.769583 27.468611|19.98|18.69|17.45|16.99|16.71|0.23992|Sy2      |HII
200.555833 21.789167|17.20|16.62|16.25|15.78|15.74|0.08519|-        |Sy1.8
203.222083 02.012500|18.86|18.37|17.63|17.10|16.94|0.21582|Sy1      |Sy1.5/LINER
203.656250 56.530000|18.40|18.38|18.34|18.37|17.83|0.34262|Sy1/BZQ  |Sy1.2
204.572083 48.276111|15.78|14.43|13.84|13.44|13.12|0.02758|Sy2      |HII
204.574167 48.277778|15.77|14.49|13.84|13.54|13.29|0.02770|LINER    |LINER
205.395417 53.745278|19.33|17.72|16.67|16.18|15.86|0.14094|AGN      |Sy1.9/LINER
205.681667 05.075833|18.52|17.37|16.43|15.99|15.65|0.13648|Sy1      |LINER
206.175417 55.886944|16.58|14.98|14.30|13.85|13.70|0.03734|Sy2      |LINER
206.182500 55.050000|19.15|17.12|15.96|15.48|15.17|0.15291|AGN      |Sy2.0/LINER
206.438333 53.547500|18.08|17.65|17.01|16.47|16.32|0.13561|Sy1      |NLS1.2
206.573333 62.346111|17.14|16.88|16.50|15.98|15.96|0.11618|Sy1      |Sy1.5
208.075000 31.446111|16.86|15.06|14.13|13.62|13.26|0.04519|LINER    |LINER
208.213333 65.686944|17.92|17.17|16.36|16.08|16.12|0.20644|Sy2      |Sy2.0/HII
210.631667 02.262778|19.44|17.91|16.94|16.56|16.30|0.17965|Sy2.0    |Sy2.0
